"14925347: On a scale of 1 to 10 (1 being the least severe, and 10 being the most severe), rate the following crimes:",0,14925348: Larceny,1,14925350: Vandalism,1,14925351: Homicide,1,14925352: Drug abuse,1,14925353: Assault,1,n correct,n incorrect,score
,0,7,0,6,0,10,0,9,0,9,0,1,5,5
,0,5,0,6,0,10,0,9,0,8,0,1,5,5
,0,8,0,7,0,10,0,9,0,10,0,1,5,5
,0,3,0,2,0,7,0,1,0,5,0,1,5,5
,0,5,0,6,0,10,0,5,0,8,0,1,5,5
,0,8,0,4,0,10,0,4,0,8,0,1,5,5
,0,8,0,3,0,10,0,5,0,10,0,1,5,5
,0,7,0,7,0,10,0,6,0,8,0,1,5,5
,0,3,0,5,0,9,0,7,0,10,0,1,5,5
,0,7,0,6,0,10,0,8,0,9,0,1,5,5
,0,10,0,8,0,10,0,9,0,10,0,1,5,5
,0,7,0,5,0,10,0,7,0,7,0,1,5,5
,0,7,0,8,0,10,0,8,0,9,0,1,5,5
,0,6,0,6,0,10,0,8,0,10,0,1,5,5
,0,8,0,3,0,10,0,5,0,10,0,1,5,5
,0,5,0,7,0,2,0,8,0,7,0,1,5,5
,0,6,0,5,0,10,0,5,0,9,0,1,5,5
,0,7,0,6,0,10,0,7,0,8,0,1,5,5
,0,8,0,7,0,9,0,7,0,8,0,1,5,5
,0,9,0,10,0,10,0,10,0,10,0,1,5,5
,0,8,0,8,0,10,0,6,0,9,0,1,5,5
,0,5,0,7,0,10,0,2,0,9,0,1,5,5
,0,10,0,10,0,10,0,10,0,10,0,1,5,5
,0,5,0,3,0,10,0,1,0,8,0,1,5,5
,0,7,0,8,0,10,0,9,0,10,0,1,5,5
,0,8,0,5,0,10,0,7,0,9,0,1,5,5
,0,7,0,5,0,10,0,1,0,8,0,1,5,5
,0,8,0,8,0,10,0,9,0,10,0,1,5,5
,0,4,0,4,0,10,0,6,0,9,0,1,5,5
,0,2,0,5,0,3,0,6,0,1,0,1,5,5
,0,10,0,10,0,10,0,10,0,10,0,1,5,5
,0,5,0,5,0,10,0,8,0,8,0,1,5,5
,0,5,0,7,0,10,0,8,0,9,0,1,5,5
,0,5,0,6,0,10,0,8,0,10,0,1,5,5
,0,4,0,6,0,9,0,6,0,7,0,1,5,5
,0,8,0,7,0,10,0,10,0,10,0,1,5,5
,0,7,0,7,0,10,0,6,0,8,0,1,5,5
,0,6,0,5,0,10,0,7,0,8,0,1,5,5
,0,6,0,7,0,10,0,6,0,9,0,1,5,5
,0,7,0,6,0,10,0,4,0,9,0,1,5,5
,0,6,0,6,0,10,0,8,0,8,0,1,5,5
,0,8,0,7,0,9,0,6,0,10,0,1,5,5
,0,6,0,5,0,10,0,7,0,8,0,1,5,5
,0,6,0,3,0,10,0,7,0,9,0,1,5,5
,0,8,0,6,0,7,0,9,0,10,0,1,5,5
,0,5,0,9,0,10,0,8,0,5,0,1,5,5
,0,6,0,6,0,10,0,3,0,7,0,1,5,5
,0,9,0,9,0,10,0,10,0,10,0,1,5,5
,0,7,0,6,0,10,0,8,0,7,0,1,5,5
,0,7,0,10,0,10,0,9,0,7,0,1,5,5
,0,1,0,1,0,10,0,7,0,6,0,1,5,5
,0,6,0,7,0,9,0,5,0,9,0,1,5,5
